filename,class,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,delta_1_mean,delta_1_std,delta_2_mean,delta_2_std,delta_3_mean,delta_3_std,delta_4_mean,delta_4_std,delta_5_mean,delta_5_std,delta_6_mean,delta_6_std,delta_7_mean,delta_7_std,delta_8_mean,delta_8_std,delta_9_mean,delta_9_std,delta_10_mean,delta_10_std,delta_11_mean,delta_11_std,delta_12_mean,delta_12_std,delta_13_mean,delta_13_std,delta2_1_mean,delta2_1_std,delta2_2_mean,delta2_2_std,delta2_3_mean,delta2_3_std,delta2_4_mean,delta2_4_std,delta2_5_mean,delta2_5_std,delta2_6_mean,delta2_6_std,delta2_7_mean,delta2_7_std,delta2_8_mean,delta2_8_std,delta2_9_mean,delta2_9_std,delta2_10_mean,delta2_10_std,delta2_11_mean,delta2_11_std,delta2_12_mean,delta2_12_std,delta2_13_mean,delta2_13_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,zero_crossing_rate_mean,zero_crossing_rate_std,rms_energy_mean,rms_energy_std
1-17124-A-43.wav,car_horn,-344.64502,103.69787,6.5411143,16.475721,-5.7043633,14.552651,0.91622174,2.5462797,0.2513262,1.6031079,-0.069675066,1.2624696,0.4519281,1.4326104,0.9524604,2.776894,-0.54901284,2.1942496,0.05350639,1.1780138,0.077200286,1.1472079,-0.056245573,0.94599074,-0.19390109,1.3084781,-1.9303983,8.185134,-0.3084359,1.575755,0.26588953,1.103279,-0.039797224,0.20972593,-0.021459814,0.3014991,-0.016824689,0.21079986,-0.0053866333,0.18155494,-0.00014057395,0.33732423,0.053371932,0.26631725,0.018233804,0.16432346,-0.0026980161,0.16414653,-0.0027239502,0.094919905,-0.015529107,0.21417782,-0.25794086,3.7577767,0.084872395,0.8195616,0.07362879,0.5768907,-0.025360871,0.16960014,0.027735656,0.23038945,0.00057772314,0.16830404,-0.005613478,0.09024349,0.005879261,0.20917767,0.022367379,0.19705452,0.017528143,0.19065523,0.020725938,0.14465363,-0.0017462927,0.077291854,-0.016572496,0.21258117,275.15218949468823,667.2363225707743,200.80351560023385,492.5484092588396,429.6377388535032,1058.7108463068287,0.028531797372611464,0.07183847767429673,0.01321801,0.0449346
1-19026-A-43.wav,car_horn,-313.12894,114.69015,18.165976,26.829283,-1.5153108,12.318264,-0.08505504,5.9996324,-0.9311198,5.744779,-1.1161532,5.950347,1.2548631,4.7483363,-1.9272772,7.311126,-2.7464237,8.054995,-1.7827768,4.7063203,-1.3869355,3.4518511,0.23806855,2.3456259,2.3543642,3.6941864,-1.8199968,6.5917106,-0.12486134,2.427977,0.012430312,1.4249281,0.04151477,0.7684653,0.03264654,0.60012406,0.029165527,0.67703897,0.019205894,0.5912488,0.10374096,0.68635434,0.15080333,0.7960682,0.07174391,0.48354095,-0.020227334,0.5536219,-0.0037089458,0.41817018,-0.0035978593,0.30100444,-0.7663795,5.414383,0.16795182,1.5298377,0.09051055,0.7651549,0.04186253,0.49241376,0.051798686,0.43195066,0.051137522,0.4299295,0.04724459,0.43133634,0.061674234,0.56125903,0.08509522,0.798894,0.042843927,0.42632163,0.0051885047,0.3200505,0.023083469,0.26013324,-0.0037766658,0.19887511,586.2032428296368,857.076933895436,650.0992116785396,825.9491477931386,1172.5716560509554,1772.2092404677187,0.0390562798566879,0.06141226274974704,0.035930835,0.1008045
1-24074-A-43.wav,car_horn,-93.0229,23.528856,61.840458,11.719718,-31.851995,7.7294364,13.182093,10.223302,-2.040716,6.784752,6.338433,5.019007,14.6425905,4.0399384,-2.1366014,4.808169,0.5254334,3.526411,3.766366,4.2145023,-5.652872,3.286835,0.3452116,3.7053423,2.2144923,3.3129203,0.5689782,2.991823,-0.17858319,1.6813446,-0.21012118,0.9878012,0.01913652,0.9833589,-0.12880665,0.89903665,0.0068205935,0.73305273,0.08618646,0.58748806,-0.07170141,0.7236679,0.03511071,0.53084934,0.03409906,0.6475092,-0.04836631,0.44182628,-0.043227762,0.5316738,-0.04462147,0.57313085,-0.15731503,1.127185,0.01784956,0.7517498,0.027490182,0.50664234,-0.015858646,0.48274347,0.06300679,0.5454038,0.0022694473,0.524244,-0.043546483,0.39899954,0.019005295,0.46806487,-0.029505316,0.36195475,-0.0015793921,0.48364887,0.039548118,0.35670254,-0.02456927,0.40861592,-0.008939388,0.41506943,1548.1549388043572,295.71556990200594,1289.7750257291377,103.3173085924585,2701.433121019108,385.1772979571834,0.1715142316878981,0.05894252110071568,0.09873329,0.05799559
1-24076-A-43.wav,car_horn,-64.04222,37.13073,45.447323,14.1961975,-15.941994,8.49054,6.8512774,4.6875386,2.9643707,3.736835,3.3298745,5.169096,6.2833834,4.103181,6.3117485,3.3893495,4.934341,4.4979954,1.194091,4.531853,-4.0633445,5.376742,-1.5257207,3.9956064,1.8753954,3.2445807,0.049372192,4.335933,0.032247093,1.9650539,-0.11464385,1.0056361,0.007927798,0.81291676,0.011148405,0.5701886,-0.022878526,0.7329774,0.0016056178,0.6345352,-0.012994201,0.52749234,0.024839744,0.5537084,0.018277183,0.6485197,0.020076843,0.7679073,0.0066689565,0.5835579,-0.0062136683,0.50287455,0.04596353,1.6851978,-0.06532437,0.89214563,0.04773449,0.5078809,-0.026138976,0.49776623,0.010623568,0.39661217,-0.0043819747,0.3854735,0.011114143,0.4365555,-0.0067640883,0.3635946,-0.006277994,0.32815555,-0.023828963,0.40375456,-0.012907025,0.4270018,0.024529194,0.41794968,0.0041973484,0.35623646,1755.1610225118493,324.42541677405,1699.5450332275752,145.35532355999598,3403.562898089172,540.3174816864287,0.14373507165605096,0.05797613365050868,0.13801907,0.08433975
1-254507-A-43.wav,car_horn,-126.55996,62.775307,73.971436,26.306297,-2.5363479,6.6800714,24.218239,8.432984,8.873516,8.767408,4.717036,11.359283,4.6656084,4.857671,3.0808141,4.0417347,1.7798443,8.6167555,0.12257706,2.6740372,-2.8124325,3.78234,1.1110508,2.7896569,-0.3121905,3.2173107,-0.62793696,2.5504405,0.32833302,1.5889236,0.10884443,0.801912,-0.16293228,1.0878363,0.054287545,1.0797583,0.16720434,1.0137806,-0.11829359,0.8178139,0.0074232887,0.54274946,0.1510389,0.69924724,-0.030791301,0.41120115,0.0072977226,0.34001452,-0.020602511,0.40366748,-0.014278965,0.53981775,-0.033061676,0.62621677,-0.025340557,0.4908282,0.012425011,0.45688394,0.026478343,0.4667722,-0.0046102805,0.48722494,0.016733719,0.42610446,-0.02456925,0.396049,-0.009504864,0.30916843,-0.005223721,0.3706767,-0.017185736,0.3152295,0.013375252,0.3032503,0.0015654431,0.30930465,0.017934978,0.3097063,1056.459747406683,629.3263498317167,1228.5048293806617,247.25371213914318,1945.1632165605095,928.6867084869829,0.08741167396496816,0.10343741046997115,0.15674958,0.15203534
1-26176-A-43.wav,car_horn,-336.18253,147.22615,5.7387476,17.46812,0.5822146,2.9982276,3.2445512,7.414715,-2.6035354,6.391397,-0.13398199,1.8844569,1.4932969,3.69717,-1.3812718,4.4602685,1.8940935,4.0611615,-0.41423097,3.0640194,-0.038308404,2.5063295,-0.24745353,1.9305788,-0.96537596,2.8970408,-2.3320553,8.502396,0.064815246,2.2142582,-0.050800674,0.3357744,-0.114269584,0.6071876,0.1259739,0.4168213,0.02394277,0.38152447,-0.09802179,0.29214725,0.05268648,0.491393,-0.08050468,0.22752109,0.041405458,0.35927692,0.018666375,0.34052122,0.03479248,0.315642,0.014937974,0.3578733,0.006904819,3.7407482,0.025551949,0.89745283,-0.008929118,0.23988731,-0.022538258,0.2581418,0.018093495,0.28337407,-0.019904641,0.2571998,0.003902988,0.19525224,0.023813901,0.23926932,0.017996468,0.18684691,-0.0072200852,0.18834725,0.0054328428,0.22825207,-0.035630554,0.26357096,-0.00019742805,0.17154202,640.1363271774628,1184.0682632167918,471.51051332215053,823.5758707064921,1165.6050955414012,2102.1390100792496,0.06796750597133758,0.13859856568315052,0.03001148,0.06849338
1-26177-A-43.wav,car_horn,-264.43454,172.0338,14.680526,19.368752,-11.344508,15.068762,-3.6311758,5.1460233,-7.430383,9.917325,-3.496082,5.1200852,-3.3022127,4.7527404,-4.0926495,5.8840876,-3.9986525,5.6124654,-4.171847,5.873555,-2.505317,3.731763,-1.7793758,3.0164216,-0.5134869,2.562205,-2.1523933,9.839384,-0.23782392,1.1038659,0.16933261,0.75550973,0.055871695,0.48455742,0.101209916,0.6564743,0.06320195,0.4363281,0.063988775,0.47766203,0.08918774,0.41105846,0.034100752,0.52842724,0.020347167,0.48260894,0.027928546,0.33244213,0.022392655,0.29191628,0.037070062,0.4607393,-0.09858919,4.2858653,-0.004446859,0.5809348,0.0007965185,0.35280734,0.0006487582,0.32157376,0.013899172,0.35458905,0.008470397,0.25838366,0.021737766,0.31665197,0.010747916,0.3228176,0.013215055,0.29419884,0.0050248145,0.24446331,0.0023903877,0.2345566,-0.01487738,0.25811064,-0.014229507,0.27064157,712.3167256034804,929.6275258075335,608.8651147212274,790.5997129134646,1340.1671974522294,1756.0106632232985,0.061710041799363055,0.08157369186748653,0.06545257,0.09064777
1-28808-A-43.wav,car_horn,-42.731308,14.590983,47.67178,9.080895,-23.412708,8.059433,8.899442,3.6814957,-2.3250558,4.4353476,12.573174,5.380627,2.6550572,3.4096322,-2.7671108,4.2993155,-2.3734937,3.6579304,0.09783381,4.5891647,1.090447,3.3203719,1.3435674,2.9344401,0.9521275,3.804272,-0.2353272,2.6872816,0.15954876,1.0963974,0.08232627,0.9017048,0.024214469,0.55086267,0.02777625,0.5464171,0.08266339,0.71906364,-0.02809645,0.5432896,-0.00998412,0.7546144,0.035548776,0.59559464,0.059843466,0.6177125,0.004691165,0.5737738,-0.030642694,0.4631585,-0.007710214,0.6337221,-0.11202562,1.6260803,0.01474888,0.7434799,0.014587244,0.53050005,0.0042523732,0.48179096,-0.01202998,0.40807053,0.00031340806,0.5890683,0.00015214902,0.44300473,0.009583519,0.4249596,0.036723897,0.46586925,0.019935016,0.4482649,0.013426728,0.40314087,0.02611806,0.34642926,0.025573518,0.45654407,1785.5505021443118,196.99116551278058,1558.4074045108412,96.33936049983961,3405.8519108280257,275.6257641574311,0.15769307324840764,0.03129207155100845,0.17102195,0.047016606
2-100648-A-43.wav,car_horn,-54.8152,16.30494,34.419212,17.781921,-0.4729871,5.137287,4.5025263,8.126982,0.36411107,6.5277247,-8.05134,7.5509057,0.21853599,5.57669,-3.0878122,6.1963115,-3.6977637,3.8481684,-0.85342234,4.752601,0.79289293,4.732275,-1.1649417,4.7891135,-3.1077929,3.8888223,0.31664428,2.456204,-0.047103103,2.4290912,0.07756807,0.6518276,-0.014899302,1.2095637,0.03756478,1.0228555,-0.017479446,0.8025451,0.030485244,0.90868354,-0.003107733,1.021096,0.027936304,0.480223,0.002625842,0.6693142,0.0050687,0.6828212,-0.03392592,0.6954376,0.019884951,0.5721138,-0.12108934,1.2645606,0.06908811,1.4504645,0.01056492,0.37789997,-0.05709909,0.7380855,0.01442262,0.563597,-0.008413933,0.40852842,-0.0399048,0.7238539,0.025753142,0.5621458,-0.034747932,0.37327093,-0.03143566,0.39733258,0.0018162336,0.45036358,0.0030394148,0.44612157,0.016586084,0.36764738,2421.7250697202976,420.1671114712505,2109.585155949401,140.57702725884482,5208.897292993631,804.3447255997619,0.2093700238853503,0.0589430849501653,0.15793929,0.20655073
2-125520-A-43.wav,car_horn,-238.26901,108.67377,29.990713,12.488656,-40.6173,19.524462,-19.762346,11.885946,-10.601366,11.104442,0.6147552,9.286851,-4.6460266,8.398737,-0.15193614,6.724526,-10.609537,11.728427,-4.378716,5.1816573,-12.958061,7.222832,-12.920765,9.562896,1.6315335,3.9391782,-1.9414972,14.810935,0.12931728,2.1358712,0.27130452,3.1584728,0.011200425,1.694003,0.1901027,1.6233435,0.15806206,1.4039502,0.18359372,1.1991507,0.114450514,0.93655133,0.15942337,1.4591974,0.14247784,0.98428655,0.13522619,1.1947511,0.07128962,1.332167,-0.0447384,0.6276223,0.027256725,5.454356,0.061891958,1.5264977,0.06571267,1.3196328,0.05571075,0.9361706,0.024620606,0.8386512,0.00091145793,0.6883444,0.004057026,0.7470331,0.037136395,0.4755615,0.05442578,0.64126855,0.043234702,0.63585335,0.01459135,0.61420995,0.014879513,0.6522721,-0.029008746,0.41684496,1591.1750503920678,232.17757988265504,1390.7766445351538,303.3629279520113,2727.8065286624205,775.6429510728098,0.13244551154458598,0.028063243497443883,0.03351312,0.028778853
