filename,fold,target,category,esc10,src_file,take
1-100032-A-0.wav,1,0,dog,True,100032,A
1-101336-A-30.wav,1,30,door_wood_knock,False,101336,A
1-103995-A-30.wav,1,30,door_wood_knock,False,103995,A
1-103999-A-30.wav,1,30,door_wood_knock,False,103999,A
1-110389-A-0.wav,1,0,dog,True,110389,A
1-17124-A-43.wav,1,43,car_horn,False,17124,A
1-187207-A-20.wav,1,20,crying_baby,True,187207,A
1-19026-A-43.wav,1,43,car_horn,False,19026,A
1-20133-A-39.wav,1,39,glass_breaking,False,20133,A
1-211527-A-20.wav,1,20,crying_baby,True,211527,A
1-211527-B-20.wav,1,20,crying_baby,True,211527,B
1-211527-C-20.wav,1,20,crying_baby,True,211527,C
1-22694-A-20.wav,1,20,crying_baby,True,22694,A
1-22694-B-20.wav,1,20,crying_baby,True,22694,B
1-24074-A-43.wav,1,43,car_horn,False,24074,A
1-24076-A-43.wav,1,43,car_horn,False,24076,A
1-254507-A-43.wav,1,43,car_horn,False,254507,A
1-26176-A-43.wav,1,43,car_horn,False,26176,A
1-26177-A-43.wav,1,43,car_horn,False,26177,A
1-26188-A-30.wav,1,30,door_wood_knock,False,26188,A
1-28808-A-43.wav,1,43,car_horn,False,28808,A
1-30226-A-0.wav,1,0,dog,True,30226,A
1-30344-A-0.wav,1,0,dog,True,30344,A
1-31482-A-42.wav,1,42,siren,False,31482,A
1-31482-B-42.wav,1,42,siren,False,31482,B
1-32318-A-0.wav,1,0,dog,True,32318,A
1-52290-A-30.wav,1,30,door_wood_knock,False,52290,A
1-54084-A-42.wav,1,42,siren,False,54084,A
1-59513-A-0.wav,1,0,dog,True,59513,A
1-60997-A-20.wav,1,20,crying_baby,True,60997,A
1-60997-B-20.wav,1,20,crying_baby,True,60997,B
1-76831-A-42.wav,1,42,siren,False,76831,A
1-76831-B-42.wav,1,42,siren,False,76831,B
1-76831-C-42.wav,1,42,siren,False,76831,C
1-76831-D-42.wav,1,42,siren,False,76831,D
1-76831-E-42.wav,1,42,siren,False,76831,E
1-81001-A-30.wav,1,30,door_wood_knock,False,81001,A
1-81001-B-30.wav,1,30,door_wood_knock,False,81001,B
1-82817-A-30.wav,1,30,door_wood_knock,False,82817,A
1-84536-A-39.wav,1,39,glass_breaking,False,84536,A
1-84704-A-39.wav,1,39,glass_breaking,False,84704,A
1-84705-A-39.wav,1,39,glass_breaking,False,84705,A
1-85168-A-39.wav,1,39,glass_breaking,False,85168,A
1-85184-A-39.wav,1,39,glass_breaking,False,85184,A
1-85362-A-0.wav,1,0,dog,True,85362,A
1-88807-A-39.wav,1,39,glass_breaking,False,88807,A
1-97392-A-0.wav,1,0,dog,True,97392,A
1-977-A-39.wav,1,39,glass_breaking,False,977,A
2-100648-A-43.wav,2,43,car_horn,False,100648,A
2-106881-A-39.wav,2,39,glass_breaking,False,106881,A
2-107351-A-20.wav,2,20,crying_baby,True,107351,A
2-107351-B-20.wav,2,20,crying_baby,True,107351,B
2-112213-A-39.wav,2,39,glass_breaking,False,112213,A
2-112213-B-39.wav,2,39,glass_breaking,False,112213,B
2-114254-A-30.wav,2,30,door_wood_knock,False,114254,A
2-114280-A-0.wav,2,0,dog,True,114280,A
2-114587-A-0.wav,2,0,dog,True,114587,A
2-116400-A-0.wav,2,0,dog,True,116400,A
2-117271-A-0.wav,2,0,dog,True,117271,A
2-118072-A-0.wav,2,0,dog,True,118072,A
2-118624-A-30.wav,2,30,door_wood_knock,False,118624,A
2-118625-A-30.wav,2,30,door_wood_knock,False,118625,A
2-118964-A-0.wav,2,0,dog,True,118964,A
2-120218-A-30.wav,2,30,door_wood_knock,False,120218,A
2-120218-B-30.wav,2,30,door_wood_knock,False,120218,B
2-122104-A-0.wav,2,0,dog,True,122104,A
2-122104-B-0.wav,2,0,dog,True,122104,B
2-125520-A-43.wav,2,43,car_horn,False,125520,A
2-128465-A-43.wav,2,43,car_horn,False,128465,A
2-128465-B-43.wav,2,43,car_horn,False,128465,B
2-133889-A-30.wav,2,30,door_wood_knock,False,133889,A
2-134915-A-30.wav,2,30,door_wood_knock,False,134915,A
2-138465-A-43.wav,2,43,car_horn,False,138465,A
2-140841-A-30.wav,2,30,door_wood_knock,False,140841,A
2-141563-A-39.wav,2,39,glass_breaking,False,141563,A
2-144137-A-43.wav,2,43,car_horn,False,144137,A
2-151079-A-20.wav,2,20,crying_baby,True,151079,A
2-173559-A-39.wav,2,39,glass_breaking,False,173559,A
2-173607-A-39.wav,2,39,glass_breaking,False,173607,A
2-173618-A-39.wav,2,39,glass_breaking,False,173618,A
2-250710-A-39.wav,2,39,glass_breaking,False,250710,A
2-42101-A-43.wav,2,43,car_horn,False,42101,A
2-43802-A-42.wav,2,42,siren,False,43802,A
2-43806-A-42.wav,2,42,siren,False,43806,A
2-50665-A-20.wav,2,20,crying_baby,True,50665,A
2-50666-A-20.wav,2,20,crying_baby,True,50666,A
2-54086-A-43.wav,2,43,car_horn,False,54086,A
2-66637-A-20.wav,2,20,crying_baby,True,66637,A
2-66637-B-20.wav,2,20,crying_baby,True,66637,B
2-70052-A-42.wav,2,42,siren,False,70052,A
2-70052-B-42.wav,2,42,siren,False,70052,B
2-70936-A-42.wav,2,42,siren,False,70936,A
2-70938-A-42.wav,2,42,siren,False,70938,A
2-70939-A-42.wav,2,42,siren,False,70939,A
2-72688-A-42.wav,2,42,siren,False,72688,A
2-80482-A-20.wav,2,20,crying_baby,True,80482,A
3-136288-A-0.wav,3,0,dog,True,136288,A
3-144028-A-0.wav,3,0,dog,True,144028,A
3-144510-A-30.wav,3,30,door_wood_knock,False,144510,A
