file_path,label
data/processed/audio/Dog/animal_sounds_caoofficial_dog_153.wav,Dog
data/processed/audio/Frog/animal_sounds_ggquang_2-52789-A.wav,Frog
data/processed/audio/Dog/animal_sounds_ggquang_dog_24 (3).wav,Dog
data/processed/audio/Cat/animal_sounds_caoofficial_cat_138.wav,Cat
data/processed/audio/Cat/animal_sounds_caoofficial_cat_34.wav,Cat
data/processed/audio/Cow/animal_sounds_caoofficial_inek_38.wav,Cow
data/processed/audio/Cat/animal_sounds_caoofficial_cat_148.wav,Cat
data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (8).wav,Bird
data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (45).wav,Bird
data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_6.wav,Sheep
data/processed/audio/Frog/animal_sounds_ggquang_3-71964-C.wav,Frog
data/processed/audio/Dog/animal_sounds_caoofficial_dog_2.wav,Dog
data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_12.wav,Sheep
data/processed/audio/Cat/animal_sounds_caoofficial_cat_106.wav,Cat
data/processed/audio/Dog/animal_sounds_caoofficial_dog_92.wav,Dog
data/processed/audio/Cat/animal_sounds_caoofficial_cat_98.wav,Cat
data/processed/audio/Frog/animal_sounds_ggquang_2-52085-B.wav,Frog
data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_27.wav,Sheep
data/processed/audio/Dog/animal_sounds_ggquang_dog_7 (2).wav,Dog
data/processed/audio/Dog/animal_sounds_ggquang_Dog_46.wav,Dog
data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_18.wav,Sheep
data/processed/audio/Dog/animal_sounds_caoofficial_dog_143.wav,Dog
data/processed/audio/Dog/animal_sounds_ggquang_dog_29 (3).wav,Dog
data/processed/audio/Dog/animal_sounds_caoofficial_dog_148.wav,Dog
data/processed/audio/Cat/animal_sounds_caoofficial_cat_90.wav,Cat
data/processed/audio/Cow/animal_sounds_ggquang_inek_54.wav,Cow
data/processed/audio/Bird/animal_sounds_caoofficial_Kus_96.wav,Bird
data/processed/audio/Dog/animal_sounds_caoofficial_dog_108.wav,Dog
data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_1.wav,Sheep
data/processed/audio/Dog/animal_sounds_caoofficial_dog_176.wav,Dog
data/processed/audio/Cow/animal_sounds_ggquang_Cow_4.wav,Cow
data/processed/audio/Dog/animal_sounds_caoofficial_dog_40.wav,Dog
data/processed/audio/Bird/animal_sounds_caoofficial_Kus_92.wav,Bird
data/processed/audio/Cow/animal_sounds_caoofficial_inek_29.wav,Cow
data/processed/audio/Dog/animal_sounds_caoofficial_dog_27.wav,Dog
data/processed/audio/Cow/animal_sounds_caoofficial_inek_64.wav,Cow
data/processed/audio/Chicken/animal_sounds_caoofficial_tavuk_30.wav,Chicken
data/processed/audio/Cat/animal_sounds_caoofficial_cat_184.wav,Cat
data/processed/audio/Cat/animal_sounds_caoofficial_cat_83.wav,Cat
data/processed/audio/Bird/animal_sounds_caoofficial_Kus_70.wav,Bird
data/processed/audio/Dog/animal_sounds_ggquang_dog_39 (2).wav,Dog
data/processed/audio/Frog/animal_sounds_ggquang_Frog_22.wav,Frog
data/processed/audio/Cat/animal_sounds_caoofficial_cat_79.wav,Cat
data/processed/audio/Dog/animal_sounds_caoofficial_dog_80.wav,Dog
data/processed/audio/Frog/animal_sounds_ggquang_kurbaga_12.wav,Frog
data/processed/audio/Dog/animal_sounds_caoofficial_dog_141.wav,Dog
data/processed/audio/Dog/animal_sounds_caoofficial_dog_100.wav,Dog
data/processed/audio/Cow/animal_sounds_caoofficial_inek_1.wav,Cow
data/processed/audio/Dog/animal_sounds_caoofficial_dog_57.wav,Dog
data/processed/audio/Cow/animal_sounds_ggquang_Cow_12.wav,Cow
data/processed/audio/Dog/animal_sounds_caoofficial_dog_62.wav,Dog
data/processed/audio/Frog/animal_sounds_ggquang_Frog_45.wav,Frog
data/processed/audio/Dog/animal_sounds_caoofficial_dog_189.wav,Dog
data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (50).wav,Bird
data/processed/audio/Dog/animal_sounds_ggquang_Dog_19.wav,Dog
data/processed/audio/Cat/animal_sounds_caoofficial_cat_152.wav,Cat
data/processed/audio/Dog/animal_sounds_ggquang_Dog_21.wav,Dog
data/processed/audio/Dog/animal_sounds_caoofficial_dog_26.wav,Dog
data/processed/audio/Dog/animal_sounds_caoofficial_dog_130.wav,Dog
data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_8.wav,Sheep
data/processed/audio/Cow/animal_sounds_ggquang_inek_8.wav,Cow
data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (77).wav,Bird
data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (63).wav,Bird
data/processed/audio/Frog/animal_sounds_caoofficial_kurbaga_1.wav,Frog
data/processed/audio/Frog/animal_sounds_ggquang_Frog_18.wav,Frog
data/processed/audio/Dog/animal_sounds_caoofficial_dog_172.wav,Dog
data/processed/audio/Cat/animal_sounds_caoofficial_cat_192.wav,Cat
data/processed/audio/Bird/animal_sounds_caoofficial_Kus_72.wav,Bird
data/processed/audio/Dog/animal_sounds_caoofficial_dog_39.wav,Dog
data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (75).wav,Bird
data/processed/audio/Dog/animal_sounds_caoofficial_dog_71.wav,Dog
data/processed/audio/Dog/animal_sounds_caoofficial_dog_61.wav,Dog
data/processed/audio/Bird/animal_sounds_caoofficial_Kus_34.wav,Bird
data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_34.wav,Sheep
data/processed/audio/Cow/animal_sounds_ggquang_4-213915-A.wav,Cow
data/processed/audio/Cat/animal_sounds_caoofficial_cat_187.wav,Cat
data/processed/audio/Cow/animal_sounds_ggquang_Cow_41.wav,Cow
data/processed/audio/Dog/animal_sounds_ggquang_Dog_42.wav,Dog
data/processed/audio/Dog/animal_sounds_caoofficial_dog_187.wav,Dog
data/processed/audio/Cow/animal_sounds_ggquang_inek_33.wav,Cow
data/processed/audio/Dog/animal_sounds_ggquang_5-213855-A.wav,Dog
data/processed/audio/Frog/animal_sounds_ggquang_Frog_9.wav,Frog
data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (46).wav,Bird
data/processed/audio/Dog/animal_sounds_caoofficial_dog_200.wav,Dog
data/processed/audio/Cat/animal_sounds_caoofficial_cat_197.wav,Cat
data/processed/audio/Monkey/animal_sounds_caoofficial_maymun_20.wav,Monkey
data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (34).wav,Bird
data/processed/audio/Dog/animal_sounds_ggquang_dog_11 (2).wav,Dog
data/processed/audio/Cat/animal_sounds_caoofficial_cat_61.wav,Cat
data/processed/audio/Chicken/animal_sounds_caoofficial_tavuk_18.wav,Chicken
data/processed/audio/Bird/animal_sounds_caoofficial_Kus_3.wav,Bird
